GridDimension: 10x10
Iteration,CellX,CellY,Susceptible,Infected,Recovered
0, 0, 0, 35.5916, 0, 0
0, 0, 1, 34.978, 0, 0
0, 0, 2, 35.3281, 0, 0
0, 0, 3, 32.4352, 0, 0
0, 0, 4, 32.6833, 0, 0
0, 0, 5, 35.3602, 0, 0
0, 0, 6, 33.4421, 0, 0
0, 0, 7, 34.1221, 0, 0
0, 0, 8, 33.7405, 0, 0
0, 0, 9, 32.9605, 0, 0
0, 1, 0, 33.8977, 0, 0
0, 1, 1, 35.4309, 0, 0
0, 1, 2, 34.5278, 0, 0
0, 1, 3, 34.1489, 0, 0
0, 1, 4, 33.8046, 0, 0
0, 1, 5, 34.7953, 0, 0
0, 1, 6, 32.8106, 0, 0
0, 1, 7, 33.4515, 0, 0
0, 1, 8, 33.7203, 0, 0
0, 1, 9, 35.2327, 0, 0
0, 2, 0, 34.3406, 0, 0
0, 2, 1, 33.2902, 0, 0
0, 2, 2, 34.4643, 0, 0
0, 2, 3, 32.7353, 0, 0
0, 2, 4, 33.6756, 0, 0
0, 2, 5, 35.1463, 0, 0
0, 2, 6, 32.6528, 0, 0
0, 2, 7, 34.09, 0, 0
0, 2, 8, 34.6653, 0, 0
0, 2, 9, 32.8558, 0, 0
0, 3, 0, 35.4271, 0, 0
0, 3, 1, 32.4739, 0, 0
0, 3, 2, 35.5369, 0, 0
0, 3, 3, 35.3346, 0, 0
0, 3, 4, 32.9569, 0, 0
0, 3, 5, 32.9523, 0, 0
0, 3, 6, 33.1736, 0, 0
0, 3, 7, 33.4306, 0, 0
0, 3, 8, 34.4932, 0, 0
0, 3, 9, 35.7507, 0, 0
0, 4, 0, 32.9373, 0, 0
0, 4, 1, 33.738, 0, 0
0, 4, 2, 34.9016, 0, 0
0, 4, 3, 35.3086, 0, 0
0, 4, 4, 33.3283, 10, 0
0, 4, 5, 33.1269, 0, 0
0, 4, 6, 34.5074, 0, 0
0, 4, 7, 35.1148, 0, 0
0, 4, 8, 33.2485, 0, 0
0, 4, 9, 32.9375, 0, 0
0, 5, 0, 33.778, 0, 0
0, 5, 1, 33.9649, 0, 0
0, 5, 2, 34.5742, 0, 0
0, 5, 3, 34.8357, 0, 0
0, 5, 4, 33.5496, 0, 0
0, 5, 5, 34.8253, 0, 0
0, 5, 6, 33.2126, 0, 0
0, 5, 7, 35.3873, 0, 0
0, 5, 8, 33.9739, 0, 0
0, 5, 9, 35.3558, 0, 0
0, 6, 0, 32.7636, 0, 0
0, 6, 1, 33.0038, 0, 0
0, 6, 2, 35.5978, 0, 0
0, 6, 3, 34.2154, 0, 0
0, 6, 4, 33.0172, 0, 0
0, 6, 5, 33.6053, 0, 0
0, 6, 6, 35.7516, 0, 0
0, 6, 7, 32.6736, 0, 0
0, 6, 8, 34.2318, 0, 0
0, 6, 9, 34.5341, 0, 0
0, 7, 0, 33.8935, 0, 0
0, 7, 1, 34.9448, 0, 0
0, 7, 2, 33.3095, 0, 0
0, 7, 3, 34.4839, 0, 0
0, 7, 4, 35.6751, 0, 0
0, 7, 5, 33.5925, 0, 0
0, 7, 6, 35.7509, 0, 0
0, 7, 7, 35.3263, 0, 0
0, 7, 8, 35.2537, 0, 0
0, 7, 9, 34.6011, 0, 0
0, 8, 0, 35.6232, 0, 0
0, 8, 1, 32.4205, 0, 0
0, 8, 2, 33.8602, 0, 0
0, 8, 3, 33.3975, 0, 0
0, 8, 4, 35.1926, 0, 0
0, 8, 5, 34.3527, 0, 0
0, 8, 6, 33.2, 0, 0
0, 8, 7, 33.9509, 0, 0
0, 8, 8, 32.5688, 0, 0
0, 8, 9, 33.6277, 0, 0
0, 9, 0, 34.4013, 0, 0
0, 9, 1, 32.472, 0, 0
0, 9, 2, 35.3669, 0, 0
0, 9, 3, 34.0842, 0, 0
0, 9, 4, 35.682, 0, 0
0, 9, 5, 33.9538, 0, 0
0, 9, 6, 35.5564, 0, 0
0, 9, 7, 32.6759, 0, 0
0, 9, 8, 35.562, 0, 0
0, 9, 9, 33.3118, 0, 0
1, 0, 0, 35.5916, 0, 1.04442e-09
1, 0, 1, 34.978, 0, 2.51334e-08
1, 0, 2, 35.3281, 0, 4.70162e-07
1, 0, 3, 32.4351, 5.65138e-05, 5.81244e-06
1, 0, 4, 32.6829, 0.000355203, 3.30388e-05
1, 0, 5, 35.3601, 5.70877e-05, 5.88116e-06
1, 0, 6, 33.4421, 0, 4.67868e-07
1, 0, 7, 34.1221, 0, 2.50262e-08
1, 0, 8, 33.7405, 0, 1.00323e-09
1, 0, 9, 32.9605, 0, 3.32944e-11
1, 1, 0, 33.8977, 0, 2.50968e-08
1, 1, 1, 35.4309, 0, 6.19064e-07
1, 1, 2, 34.5276, 0.000124805, 1.18013e-05
1, 1, 3, 34.1474, 0.00137947, 0.000127471
1, 1, 4, 33.7968, 0.00713838, 0.000665822
1, 1, 5, 34.7938, 0.00138534, 0.000128013
1, 1, 6, 32.8104, 0.000123986, 1.17231e-05
1, 1, 7, 33.4515, 0, 6.13758e-07
1, 1, 8, 33.7203, 0, 2.41401e-08
1, 1, 9, 35.2327, 0, 7.92453e-10
1, 2, 0, 34.3406, 0, 4.70203e-07
1, 2, 1, 33.2901, 0.000124617, 1.17815e-05
1, 2, 2, 34.4621, 0.00207933, 0.000192059
1, 2, 3, 32.7123, 0.0210384, 0.00196292
1, 2, 4, 33.5572, 0.108139, 0.0102018
1, 2, 5, 35.1231, 0.0212325, 0.00198103
1, 2, 6, 32.6506, 0.00205374, 0.000189697
1, 2, 7, 34.0899, 0.00012416, 1.17438e-05
1, 2, 8, 34.6653, 0, 4.53371e-07
1, 2, 9, 32.8558, 0, 1.45068e-08
1, 3, 0, 35.4271, 5.71207e-05, 5.88599e-06
1, 3, 1, 32.4724, 0.00138138, 0.000127644
1, 3, 2, 35.5134, 0.0214834, 0.00200438
1, 3, 3, 35.0972, 0.216901, 0.0204694
1, 3, 4, 31.7632, 1.08949, 0.104193
1, 3, 5, 32.7198, 0.212439, 0.0200495
1, 3, 6, 33.1506, 0.0210456, 0.0019636
1, 3, 7, 33.4291, 0.0013726, 0.000126833
1, 3, 8, 34.4931, 5.49387e-05, 5.62856e-06
1, 3, 9, 35.7507, 0, 1.77336e-07
1, 4, 0, 32.9369, 0.000358399, 3.33341e-05
1, 4, 1, 33.7301, 0.00722367, 0.000673759
1, 4, 2, 34.7815, 0.109701, 0.0103486
1, 4, 3, 34.0907, 1.11159, 0.106291
1, 4, 4, 36.6385, 6.09618, 0.593654
1, 4, 5, 31.9317, 1.09086, 0.104323
1, 4, 6, 34.3882, 0.108925, 0.0102758
1, 4, 7, 35.107, 0.00721763, 0.000673209
1, 4, 8, 33.2482, 0.000344674, 3.20664e-05
1, 4, 9, 32.9375, 0, 1.03238e-06
1, 5, 0, 33.778, 5.71172e-05, 5.88019e-06
1, 5, 1, 33.9634, 0.00138771, 0.00012823
1, 5, 2, 34.551, 0.021259, 0.00198347
1, 5, 3, 34.5993, 0.216035, 0.0203877
1, 5, 4, 32.3493, 1.09555, 0.104769
1, 5, 5, 34.5885, 0.216358, 0.0204185
1, 5, 6, 33.1896, 0.021024, 0.00196158
1, 5, 7, 35.3858, 0.00138731, 0.000128193
1, 5, 8, 33.9738, 5.52313e-05, 5.65401e-06
1, 5, 9, 35.3558, 0, 1.77652e-07
1, 6, 0, 32.7636, 0, 4.6963e-07
1, 6, 1, 33.0037, 0.000124876, 1.18042e-05
1, 6, 2, 35.5955, 0.00208767, 0.00019283
1, 6, 3, 34.1923, 0.0211456, 0.0019729
1, 6, 4, 32.8996, 0.107448, 0.0101366
1, 6, 5, 33.5822, 0.0211066, 0.00196928
