GridDimension: 20x20
Iteration,CellX,CellY,Susceptible,Infected,Recovered
0, 0, 0, 73, 0, 0
0, 0, 1, 87, 0, 0
0, 0, 2, 94, 0, 0
0, 0, 3, 106, 0, 0
0, 0, 4, 85, 0, 0
0, 0, 5, 97, 0, 0
0, 0, 6, 85, 0, 0
0, 0, 7, 82, 0, 0
0, 0, 8, 92, 0, 0
0, 0, 9, 82, 0, 0
0, 0, 10, 81, 0, 0
0, 0, 11, 90, 0, 0
0, 0, 12, 113, 0, 0
0, 0, 13, 83, 0, 0
0, 0, 14, 92, 0, 0
0, 0, 15, 84, 0, 0
0, 0, 16, 90, 0, 0
0, 0, 17, 103, 0, 0
0, 0, 18, 102, 0, 0
0, 0, 19, 118, 0, 0
0, 1, 0, 79, 0, 0
0, 1, 1, 100, 0, 0
0, 1, 2, 93, 0, 0
0, 1, 3, 97, 0, 0
0, 1, 4, 93, 0, 0
0, 1, 5, 79, 0, 0
0, 1, 6, 81, 0, 0
0, 1, 7, 88, 0, 0
0, 1, 8, 92, 0, 0
0, 1, 9, 102, 0, 0
0, 1, 10, 105, 0, 0
0, 1, 11, 110, 0, 0
0, 1, 12, 92, 0, 0
0, 1, 13, 85, 0, 0
0, 1, 14, 83, 0, 0
0, 1, 15, 86, 0, 0
0, 1, 16, 74, 0, 0
0, 1, 17, 92, 0, 0
0, 1, 18, 103, 0, 0
0, 1, 19, 92, 0, 0
0, 2, 0, 105, 0, 0
0, 2, 1, 83, 0, 0
0, 2, 2, 91, 0, 0
0, 2, 3, 106, 0, 0
0, 2, 4, 85, 0, 0
0, 2, 5, 92, 0, 0
0, 2, 6, 105, 0, 0
0, 2, 7, 88, 0, 0
0, 2, 8, 92, 0, 0
0, 2, 9, 82, 0, 0
0, 2, 10, 88, 0, 0
0, 2, 11, 96, 0, 0
0, 2, 12, 78, 0, 0
0, 2, 13, 69, 0, 0
0, 2, 14, 79, 0, 0
0, 2, 15, 110, 0, 0
0, 2, 16, 104, 0, 0
0, 2, 17, 72, 0, 0
0, 2, 18, 93, 0, 0
0, 2, 19, 91, 0, 0
0, 3, 0, 88, 0, 0
0, 3, 1, 97, 0, 0
0, 3, 2, 102, 0, 0
0, 3, 3, 102, 0, 0
0, 3, 4, 99, 0, 0
0, 3, 5, 109, 0, 0
0, 3, 6, 79, 0, 0
0, 3, 7, 90, 0, 0
0, 3, 8, 90, 0, 0
0, 3, 9, 96, 0, 0
0, 3, 10, 93, 0, 0
0, 3, 11, 87, 0, 0
0, 3, 12, 100, 0, 0
0, 3, 13, 86, 0, 0
0, 3, 14, 78, 0, 0
0, 3, 15, 115, 0, 0
0, 3, 16, 102, 0, 0
0, 3, 17, 74, 0, 0
0, 3, 18, 80, 0, 0
0, 3, 19, 92, 0, 0
0, 4, 0, 99, 0, 0
0, 4, 1, 93, 0, 0
0, 4, 2, 93, 0, 0
0, 4, 3, 103, 0, 0
0, 4, 4, 68, 0, 0
0, 4, 5, 103, 0, 0
0, 4, 6, 99, 0, 0
0, 4, 7, 109, 0, 0
0, 4, 8, 95, 0, 0
0, 4, 9, 97, 0, 0
0, 4, 10, 83, 0, 0
0, 4, 11, 107, 0, 0
