GridDimension: 20x20
Iteration,CellX,CellY,Susceptible,Infected,Recovered
0, 0, 0, 94, 0, 0
0, 0, 1, 90, 0, 0
0, 0, 2, 80, 0, 0
0, 0, 3, 96, 0, 0
0, 0, 4, 89, 0, 0
0, 0, 5, 83, 0, 0
0, 0, 6, 86, 0, 0
0, 0, 7, 106, 0, 0
0, 0, 8, 110, 0, 0
0, 0, 9, 84, 0, 0
0, 0, 10, 95, 0, 0
0, 0, 11, 78, 0, 0
0, 0, 12, 92, 0, 0
0, 0, 13, 90, 0, 0
0, 0, 14, 97, 0, 0
0, 0, 15, 96, 0, 0
0, 0, 16, 99, 0, 0
0, 0, 17, 101, 0, 0
0, 0, 18, 86, 0, 0
0, 0, 19, 89, 0, 0
0, 1, 0, 90, 0, 0
0, 1, 1, 109, 0, 0
0, 1, 2, 92, 0, 0
0, 1, 3, 98, 0, 0
0, 1, 4, 89, 0, 0
0, 1, 5, 94, 0, 0
0, 1, 6, 79, 0, 0
0, 1, 7, 94, 0, 0
0, 1, 8, 80, 0, 0
0, 1, 9, 75, 0, 0
0, 1, 10, 84, 0, 0
0, 1, 11, 83, 0, 0
0, 1, 12, 78, 0, 0
0, 1, 13, 86, 0, 0
0, 1, 14, 95, 0, 0
0, 1, 15, 100, 0, 0
0, 1, 16, 105, 0, 0
0, 1, 17, 96, 0, 0
0, 1, 18, 88, 0, 0
0, 1, 19, 80, 0, 0
0, 2, 0, 93, 0, 0
0, 2, 1, 83, 0, 0
0, 2, 2, 83, 0, 0
0, 2, 3, 86, 0, 0
0, 2, 4, 110, 0, 0
0, 2, 5, 94, 0, 0
0, 2, 6, 98, 0, 0
0, 2, 7, 78, 0, 0
0, 2, 8, 100, 0, 0
0, 2, 9, 75, 0, 0
0, 2, 10, 92, 0, 0
0, 2, 11, 92, 0, 0
0, 2, 12, 95, 0, 0
0, 2, 13, 92, 0, 0
0, 2, 14, 96, 0, 0
0, 2, 15, 82, 0, 0
0, 2, 16, 88, 0, 0
0, 2, 17, 91, 0, 0
0, 2, 18, 103, 0, 0
0, 2, 19, 102, 0, 0
0, 3, 0, 81, 0, 0
0, 3, 1, 76, 0, 0
0, 3, 2, 86, 0, 0
0, 3, 3, 85, 0, 0
0, 3, 4, 97, 0, 0
0, 3, 5, 84, 0, 0
0, 3, 6, 74, 0, 0
0, 3, 7, 85, 0, 0
0, 3, 8, 111, 0, 0
0, 3, 9, 98, 0, 0
0, 3, 10, 104, 0, 0
0, 3, 11, 69, 0, 0
0, 3, 12, 88, 0, 0
0, 3, 13, 89, 0, 0
0, 3, 14, 85, 0, 0
0, 3, 15, 82, 0, 0
0, 3, 16, 82, 0, 0
0, 3, 17, 99, 0, 0
0, 3, 18, 85, 0, 0
0, 3, 19, 94, 0, 0
0, 4, 0, 105, 0, 0
0, 4, 1, 111, 0, 0
0, 4, 2, 98, 0, 0
0, 4, 3, 85, 0, 0
0, 4, 4, 90, 0, 0
0, 4, 5, 93, 0, 0
0, 4, 6, 93, 0, 0
0, 4, 7, 88, 0, 0
0, 4, 8, 75, 0, 0
0, 4, 9, 91, 0, 0
0, 4, 10, 101, 0, 0
0, 4, 11, 82, 0, 0
0, 4, 12, 101, 0, 0
0, 4, 13, 99, 0, 0
0, 4, 14, 81, 0, 0
0, 4, 15, 94, 0, 0
0, 4, 16, 88, 0, 0
0, 4, 17, 91, 0, 0
0, 4, 18, 86, 0, 0
0, 4, 19, 82, 0, 0
0, 5, 0, 86, 0, 0
0, 5, 1, 111, 0, 0
0, 5, 2, 99, 0, 0
0, 5, 3, 76, 0, 0
0, 5, 4, 82, 0, 0
0, 5, 5, 79, 0, 0
0, 5, 6, 80, 0, 0
0, 5, 7, 99, 0, 0
0, 5, 8, 74, 0, 0
0, 5, 9, 88, 0, 0
0, 5, 10, 86, 0, 0
0, 5, 11, 86, 0, 0
0, 5, 12, 78, 0, 0
0, 5, 13, 83, 0, 0
0, 5, 14, 94, 0, 0
0, 5, 15, 92, 0, 0
0, 5, 16, 102, 0, 0
0, 5, 17, 102, 0, 0
0, 5, 18, 85, 0, 0
0, 5, 19, 96, 0, 0
0, 6, 0, 106, 0, 0
0, 6, 1, 97, 0, 0
0, 6, 2, 99, 0, 0
0, 6, 3, 108, 0, 0
0, 6, 4, 97, 0, 0
0, 6, 5, 94, 0, 0
0, 6, 6, 85, 0, 0
0, 6, 7, 97, 0, 0
0, 6, 8, 95, 0, 0
0, 6, 9, 104, 0, 0
0, 6, 10, 109, 0, 0
0, 6, 11, 101, 0, 0
0, 6, 12, 94, 0, 0
0, 6, 13, 104, 0, 0
0, 6, 14, 86, 0, 0
0, 6, 15, 108, 0, 0
0, 6, 16, 85, 0, 0
0, 6, 17, 92, 0, 0
0, 6, 18, 75, 0, 0
0, 6, 19, 100, 0, 0
0, 7, 0, 101, 0, 0
0, 7, 1, 98, 0, 0
0, 7, 2, 108, 0, 0
0, 7, 3, 89, 0, 0
0, 7, 4, 89, 0, 0
0, 7, 5, 82, 0, 0
0, 7, 6, 81, 0, 0
0, 7, 7, 93, 0, 0
0, 7, 8, 95, 0, 0
0, 7, 9, 85, 0, 0
0, 7, 10, 89, 0, 0
0, 7, 11, 93, 0, 0
0, 7, 12, 90, 0, 0
0, 7, 13, 95, 0, 0
0, 7, 14, 95, 0, 0
0, 7, 15, 79, 0, 0
0, 7, 16, 74, 0, 0
0, 7, 17, 91, 0, 0
0, 7, 18, 89, 0, 0
0, 7, 19, 100, 0, 0
0, 8, 0, 104, 0, 0
0, 8, 1, 100, 0, 0
0, 8, 2, 75, 0, 0
0, 8, 3, 99, 0, 0
0, 8, 4, 95, 0, 0
0, 8, 5, 89, 0, 0
0, 8, 6, 82, 0, 0
0, 8, 7, 102, 0, 0
0, 8, 8, 96, 0, 0
0, 8, 9, 89, 0, 0
0, 8, 10, 89, 0, 0
0, 8, 11, 105, 0, 0
0, 8, 12, 95, 0, 0
0, 8, 13, 99, 0, 0
0, 8, 14, 79, 0, 0
0, 8, 15, 97, 0, 0
0, 8, 16, 85, 0, 0
0, 8, 17, 99, 0, 0
0, 8, 18, 97, 0, 0
0, 8, 19, 93, 0, 0
0, 9, 0, 64, 0, 0
0, 9, 1, 90, 0, 0
0, 9, 2, 106, 0, 0
0, 9, 3, 96, 0, 0
0, 9, 4, 94, 0, 0
0, 9, 5, 87, 0, 0
0, 9, 6, 84, 0, 0
0, 9, 7, 94, 0, 0
0, 9, 8, 97, 0, 0
0, 9, 9, 112, 100, 0
0, 9, 10, 80, 0, 0
0, 9, 11, 94, 0, 0
0, 9, 12, 100, 0, 0
0, 9, 13, 107, 0, 0
0, 9, 14, 96, 0, 0
0, 9, 15, 96, 0, 0
0, 9, 16, 92, 0, 0
0, 9, 17, 76, 0, 0
0, 9, 18, 73, 0, 0
0, 9, 19, 81, 0, 0
0, 10, 0, 88, 0, 0
0, 10, 1, 100, 0, 0
0, 10, 2, 85, 0, 0
0, 10, 3, 96, 0, 0
0, 10, 4, 85, 0, 0
0, 10, 5, 92, 0, 0
0, 10, 6, 81, 0, 0
0, 10, 7, 104, 0, 0
0, 10, 8, 87, 0, 0
0, 10, 9, 107, 0, 0
0, 10, 10, 84, 0, 0
0, 10, 11, 100, 0, 0
0, 10, 12, 98, 0, 0
0, 10, 13, 95, 0, 0
0, 10, 14, 78, 0, 0
0, 10, 15, 93, 0, 0
0, 10, 16, 93, 0, 0
0, 10, 17, 97, 0, 0
0, 10, 18, 95, 0, 0
0, 10, 19, 96, 0, 0
0, 11, 0, 85, 0, 0
0, 11, 1, 88, 0, 0
0, 11, 2, 93, 0, 0
0, 11, 3, 93, 0, 0
0, 11, 4, 91, 0, 0
0, 11, 5, 82, 0, 0
0, 11, 6, 106, 0, 0
0, 11, 7, 80, 0, 0
0, 11, 8, 93, 0, 0
0, 11, 9, 98, 0, 0
0, 11, 10, 103, 0, 0
0, 11, 11, 77, 0, 0
0, 11, 12, 87, 0, 0
0, 11, 13, 80, 0, 0
0, 11, 14, 82, 0, 0
0, 11, 15, 91, 0, 0
0, 11, 16, 96, 0, 0
0, 11, 17, 83, 0, 0
0, 11, 18, 83, 0, 0
0, 11, 19, 84, 0, 0
0, 12, 0, 87, 0, 0
0, 12, 1, 95, 0, 0
0, 12, 2, 82, 0, 0
0, 12, 3, 86, 0, 0
0, 12, 4, 99, 0, 0
0, 12, 5, 106, 0, 0
0, 12, 6, 90, 0, 0
0, 12, 7, 103, 0, 0
0, 12, 8, 88, 0, 0
0, 12, 9, 85, 0, 0
0, 12, 10, 90, 0, 0
0, 12, 11, 95, 0, 0
0, 12, 12, 94, 0, 0
0, 12, 13, 96, 0, 0
0, 12, 14, 108, 0, 0
0, 12, 15, 102, 0, 0
0, 12, 16, 93, 0, 0
0, 12, 17, 78, 0, 0
0, 12, 18, 82, 0, 0
0, 12, 19, 90, 0, 0
0, 13, 0, 87, 0, 0
0, 13, 1, 81, 0, 0
0, 13, 2, 85, 0, 0
0, 13, 3, 110, 0, 0
0, 13, 4, 93, 0, 0
0, 13, 5, 90, 0, 0
0, 13, 6, 77, 0, 0
0, 13, 7, 85, 0, 0
0, 13, 8, 83, 0, 0
0, 13, 9, 81, 0, 0
0, 13, 10, 104, 0, 0
0, 13, 11, 106, 0, 0
0, 13, 12, 89, 0, 0
0, 13, 13, 89, 0, 0
0, 13, 14, 88, 0, 0
0, 13, 15, 64, 0, 0
0, 13, 16, 84, 0, 0
0, 13, 17, 84, 0, 0
0, 13, 18, 85, 0, 0
0, 13, 19, 75, 0, 0
0, 14, 0, 83, 0, 0
0, 14, 1, 96, 0, 0
0, 14, 2, 106, 0, 0
0, 14, 3, 92, 0, 0
0, 14, 4, 100, 0, 0
0, 14, 5, 94, 0, 0
0, 14, 6, 75, 0, 0
0, 14, 7, 85, 0, 0
0, 14, 8, 83, 0, 0
0, 14, 9, 83, 0, 0
0, 14, 10, 98, 0, 0
0, 14, 11, 92, 0, 0
0, 14, 12, 93, 0, 0
0, 14, 13, 93, 0, 0
0, 14, 14, 100, 0, 0
0, 14, 15, 105, 0, 0
0, 14, 16, 81, 0, 0
0, 14, 17, 86, 0, 0
0, 14, 18, 98, 0, 0
0, 14, 19, 81, 0, 0
0, 15, 0, 96, 0, 0
0, 15, 1, 102, 0, 0
0, 15, 2, 86, 0, 0
0, 15, 3, 81, 0, 0
0, 15, 4, 94, 0, 0
0, 15, 5, 82, 0, 0
0, 15, 6, 111, 0, 0
0, 15, 7, 101, 0, 0
0, 15, 8, 71, 0, 0
0, 15, 9, 83, 0, 0
0, 15, 10, 100, 0, 0
0, 15, 11, 88, 0, 0
0, 15, 12, 81, 0, 0
0, 15, 13, 80, 0, 0
0, 15, 14, 97, 0, 0
0, 15, 15, 89, 0, 0
0, 15, 16, 83, 0, 0
0, 15, 17, 94, 0, 0
0, 15, 18, 74, 0, 0
0, 15, 19, 98, 0, 0
0, 16, 0, 101, 0, 0
0, 16, 1, 98, 0, 0
0, 16, 2, 107, 0, 0
0, 16, 3, 105, 0, 0
0, 16, 4, 103, 0, 0
0, 16, 5, 94, 0, 0
0, 16, 6, 98, 0, 0
0, 16, 7, 92, 0, 0
0, 16, 8, 75, 0, 0
0, 16, 9, 87, 0, 0
0, 16, 10, 108, 0, 0
0, 16, 11, 105, 0, 0
0, 16, 12, 79, 0, 0
0, 16, 13, 99, 0, 0
0, 16, 14, 119, 0, 0
0, 16, 15, 97, 0, 0
0, 16, 16, 88, 0, 0
0, 16, 17, 82, 0, 0
0, 16, 18, 95, 0, 0
0, 16, 19, 95, 0, 0
0, 17, 0, 78, 0, 0
0, 17, 1, 80, 0, 0
0, 17, 2, 86, 0, 0
0, 17, 3, 110, 0, 0
0, 17, 4, 107, 0, 0
0, 17, 5, 102, 0, 0
0, 17, 6, 106, 0, 0
0, 17, 7, 111, 0, 0
0, 17, 8, 104, 0, 0
0, 17, 9, 91, 0, 0
0, 17, 10, 86, 0, 0
0, 17, 11, 80, 0, 0
0, 17, 12, 96, 0, 0
0, 17, 13, 94, 0, 0
0, 17, 14, 87, 0, 0
0, 17, 15, 92, 0, 0
0, 17, 16, 84, 0, 0
0, 17, 17, 94, 0, 0
0, 17, 18, 103, 0, 0
0, 17, 19, 109, 0, 0
0, 18, 0, 102, 0, 0
0, 18, 1, 86, 0, 0
0, 18, 2, 101, 0, 0
0, 18, 3, 79, 0, 0
0, 18, 4, 94, 0, 0
0, 18, 5, 95, 0, 0
0, 18, 6, 87, 0, 0
0, 18, 7, 105, 0, 0
0, 18, 8, 113, 0, 0
0, 18, 9, 104, 0, 0
0, 18, 10, 105, 0, 0
0, 18, 11, 103, 0, 0
0, 18, 12, 93, 0, 0
0, 18, 13, 81, 0, 0
0, 18, 14, 82, 0, 0
0, 18, 15, 101, 0, 0
0, 18, 16, 88, 0, 0
0, 18, 17, 108, 0, 0
0, 18, 18, 95, 0, 0
