GridDimension: 10x10
Iteration,CellX,CellY,Susceptible,Infected,Recovered
0, 0, 0, 33, 0, 0
0, 0, 1, 32, 0, 0
0, 0, 2, 43, 0, 0
0, 0, 3, 37, 0, 0
0, 0, 4, 28, 0, 0
0, 0, 5, 17, 0, 0
0, 0, 6, 24, 0, 0
0, 0, 7, 37, 0, 0
0, 0, 8, 29, 0, 0
0, 0, 9, 36, 0, 0
0, 1, 0, 38, 0, 0
0, 1, 1, 29, 0, 0
0, 1, 2, 44, 0, 0
0, 1, 3, 37, 0, 0
0, 1, 4, 33, 0, 0
0, 1, 5, 37, 0, 0
0, 1, 6, 41, 0, 0
0, 1, 7, 43, 0, 0
0, 1, 8, 25, 0, 0
0, 1, 9, 39, 0, 0
0, 2, 0, 33, 0, 0
0, 2, 1, 41, 0, 0
0, 2, 2, 34, 0, 0
0, 2, 3, 33, 0, 0
0, 2, 4, 27, 0, 0
0, 2, 5, 29, 0, 0
0, 2, 6, 37, 0, 0
0, 2, 7, 28, 0, 0
0, 2, 8, 27, 0, 0
0, 2, 9, 28, 0, 0
0, 3, 0, 33, 0, 0
0, 3, 1, 40, 0, 0
0, 3, 2, 32, 0, 0
0, 3, 3, 42, 0, 0
0, 3, 4, 33, 0, 0
0, 3, 5, 35, 0, 0
0, 3, 6, 29, 0, 0
0, 3, 7, 36, 0, 0
0, 3, 8, 30, 0, 0
0, 3, 9, 37, 0, 0
0, 4, 0, 29, 0, 0
0, 4, 1, 31, 0, 0
0, 4, 2, 29, 0, 0
0, 4, 3, 36, 0, 0
0, 4, 4, 40, 10, 0
0, 4, 5, 32, 0, 0
0, 4, 6, 32, 0, 0
0, 4, 7, 36, 0, 0
0, 4, 8, 33, 0, 0
0, 4, 9, 27, 0, 0
0, 5, 0, 43, 0, 0
0, 5, 1, 34, 0, 0
0, 5, 2, 37, 0, 0
0, 5, 3, 36, 0, 0
0, 5, 4, 46, 0, 0
0, 5, 5, 30, 0, 0
0, 5, 6, 32, 0, 0
0, 5, 7, 36, 0, 0
0, 5, 8, 32, 0, 0
0, 5, 9, 40, 0, 0
