GridDimension: 20x20
Iteration,CellX,CellY,Susceptible,Infected,Recovered
0, 0, 0, 80, 0, 0
0, 0, 1, 94, 0, 0
0, 0, 2, 89, 0, 0
0, 0, 3, 83, 0, 0
0, 0, 4, 87, 0, 0
0, 0, 5, 107, 0, 0
0, 0, 6, 112, 0, 0
0, 0, 7, 97, 0, 0
0, 0, 8, 95, 0, 0
0, 0, 9, 104, 0, 0
0, 0, 10, 93, 0, 0
0, 0, 11, 91, 0, 0
0, 0, 12, 85, 0, 0
0, 0, 13, 99, 0, 0
0, 0, 14, 88, 0, 0
0, 0, 15, 80, 0, 0
0, 0, 16, 95, 0, 0
0, 0, 17, 96, 0, 0
0, 0, 18, 94, 0, 0
0, 0, 19, 79, 0, 0
0, 1, 0, 87, 0, 0
0, 1, 1, 93, 0, 0
0, 1, 2, 89, 0, 0
0, 1, 3, 97, 0, 0
0, 1, 4, 98, 0, 0
0, 1, 5, 88, 0, 0
0, 1, 6, 94, 0, 0
0, 1, 7, 86, 0, 0
0, 1, 8, 97, 0, 0
0, 1, 9, 91, 0, 0
0, 1, 10, 100, 0, 0
0, 1, 11, 95, 0, 0
0, 1, 12, 110, 0, 0
0, 1, 13, 102, 0, 0
0, 1, 14, 84, 0, 0
0, 1, 15, 107, 0, 0
0, 1, 16, 93, 0, 0
0, 1, 17, 88, 0, 0
0, 1, 18, 94, 0, 0
0, 1, 19, 78, 0, 0
0, 2, 0, 96, 0, 0
0, 2, 1, 100, 0, 0
0, 2, 2, 88, 0, 0
0, 2, 3, 96, 0, 0
0, 2, 4, 99, 0, 0
0, 2, 5, 88, 0, 0
0, 2, 6, 91, 0, 0
0, 2, 7, 94, 0, 0
0, 2, 8, 113, 0, 0
0, 2, 9, 82, 0, 0
0, 2, 10, 85, 0, 0
0, 2, 11, 89, 0, 0
0, 2, 12, 106, 0, 0
0, 2, 13, 88, 0, 0
0, 2, 14, 90, 0, 0
0, 2, 15, 118, 0, 0
0, 2, 16, 93, 0, 0
0, 2, 17, 109, 0, 0
0, 2, 18, 87, 0, 0
0, 2, 19, 105, 0, 0
0, 3, 0, 75, 0, 0
0, 3, 1, 102, 0, 0
0, 3, 2, 113, 0, 0
0, 3, 3, 78, 0, 0
0, 3, 4, 84, 0, 0
0, 3, 5, 85, 0, 0
0, 3, 6, 88, 0, 0
0, 3, 7, 92, 0, 0
0, 3, 8, 77, 0, 0
0, 3, 9, 91, 0, 0
0, 3, 10, 89, 0, 0
0, 3, 11, 88, 0, 0
0, 3, 12, 101, 0, 0
0, 3, 13, 89, 0, 0
0, 3, 14, 97, 0, 0
0, 3, 15, 82, 0, 0
0, 3, 16, 94, 0, 0
0, 3, 17, 98, 0, 0
0, 3, 18, 91, 0, 0
0, 3, 19, 95, 0, 0
0, 4, 0, 97, 0, 0
0, 4, 1, 96, 0, 0
0, 4, 2, 92, 0, 0
0, 4, 3, 93, 0, 0
0, 4, 4, 95, 0, 0
0, 4, 5, 86, 0, 0
0, 4, 6, 102, 0, 0
0, 4, 7, 105, 0, 0
0, 4, 8, 81, 0, 0
0, 4, 9, 92, 0, 0
0, 4, 10, 90, 0, 0
0, 4, 11, 90, 0, 0
0, 4, 12, 79, 0, 0
0, 4, 13, 97, 0, 0
0, 4, 14, 89, 0, 0
0, 4, 15, 92, 0, 0
0, 4, 16, 89, 0, 0
0, 4, 17, 91, 0, 0
0, 4, 18, 100, 0, 0
0, 4, 19, 109, 0, 0
0, 5, 0, 88, 0, 0
0, 5, 1, 86, 0, 0
0, 5, 2, 66, 0, 0
0, 5, 3, 97, 0, 0
0, 5, 4, 84, 0, 0
0, 5, 5, 92, 0, 0
0, 5, 6, 83, 0, 0
0, 5, 7, 98, 0, 0
0, 5, 8, 88, 0, 0
0, 5, 9, 77, 0, 0
0, 5, 10, 75, 0, 0
0, 5, 11, 96, 0, 0
0, 5, 12, 86, 0, 0
0, 5, 13, 88, 0, 0
0, 5, 14, 89, 0, 0
0, 5, 15, 104, 0, 0
0, 5, 16, 102, 0, 0
0, 5, 17, 95, 0, 0
0, 5, 18, 91, 0, 0
0, 5, 19, 67, 0, 0
0, 6, 0, 100, 0, 0
0, 6, 1, 100, 0, 0
0, 6, 2, 93, 0, 0
0, 6, 3, 84, 0, 0
0, 6, 4, 90, 0, 0
0, 6, 5, 110, 0, 0
0, 6, 6, 96, 0, 0
0, 6, 7, 93, 0, 0
0, 6, 8, 94, 0, 0
0, 6, 9, 94, 0, 0
0, 6, 10, 82, 0, 0
0, 6, 11, 69, 0, 0
0, 6, 12, 111, 0, 0
0, 6, 13, 91, 0, 0
0, 6, 14, 69, 0, 0
0, 6, 15, 71, 0, 0
0, 6, 16, 74, 0, 0
0, 6, 17, 80, 0, 0
0, 6, 18, 86, 0, 0
0, 6, 19, 79, 0, 0
0, 7, 0, 85, 0, 0
0, 7, 1, 94, 0, 0
0, 7, 2, 73, 0, 0
0, 7, 3, 83, 0, 0
0, 7, 4, 92, 0, 0
0, 7, 5, 84, 0, 0
0, 7, 6, 93, 0, 0
0, 7, 7, 91, 0, 0
0, 7, 8, 78, 0, 0
0, 7, 9, 92, 0, 0
0, 7, 10, 89, 0, 0
0, 7, 11, 81, 0, 0
0, 7, 12, 101, 0, 0
0, 7, 13, 87, 0, 0
0, 7, 14, 92, 0, 0
0, 7, 15, 96, 0, 0
0, 7, 16, 88, 0, 0
0, 7, 17, 88, 0, 0
0, 7, 18, 91, 0, 0
0, 7, 19, 97, 0, 0
0, 8, 0, 108, 0, 0
0, 8, 1, 98, 0, 0
0, 8, 2, 90, 0, 0
0, 8, 3, 87, 0, 0
0, 8, 4, 86, 0, 0
0, 8, 5, 81, 0, 0
0, 8, 6, 83, 0, 0
0, 8, 7, 95, 0, 0
0, 8, 8, 91, 0, 0
0, 8, 9, 93, 0, 0
0, 8, 10, 78, 0, 0
0, 8, 11, 101, 0, 0
0, 8, 12, 98, 0, 0
0, 8, 13, 84, 0, 0
0, 8, 14, 86, 0, 0
0, 8, 15, 86, 0, 0
0, 8, 16, 90, 0, 0
0, 8, 17, 97, 0, 0
0, 8, 18, 100, 0, 0
0, 8, 19, 92, 0, 0
0, 9, 0, 100, 0, 0
0, 9, 1, 103, 0, 0
0, 9, 2, 99, 0, 0
0, 9, 3, 99, 0, 0
0, 9, 4, 105, 0, 0
0, 9, 5, 105, 0, 0
0, 9, 6, 82, 0, 0
0, 9, 7, 117, 0, 0
0, 9, 8, 95, 0, 0
0, 9, 9, 81, 100, 0
0, 9, 10, 76, 0, 0
0, 9, 11, 101, 0, 0
0, 9, 12, 91, 0, 0
0, 9, 13, 77, 0, 0
0, 9, 14, 106, 0, 0
0, 9, 15, 86, 0, 0
0, 9, 16, 98, 0, 0
0, 9, 17, 101, 0, 0
0, 9, 18, 94, 0, 0
0, 9, 19, 107, 0, 0
0, 10, 0, 89, 0, 0
0, 10, 1, 94, 0, 0
0, 10, 2, 85, 0, 0
0, 10, 3, 99, 0, 0
0, 10, 4, 95, 0, 0
0, 10, 5, 80, 0, 0
0, 10, 6, 81, 0, 0
0, 10, 7, 82, 0, 0
0, 10, 8, 100, 0, 0
0, 10, 9, 107, 0, 0
0, 10, 10, 80, 0, 0
0, 10, 11, 100, 0, 0
0, 10, 12, 102, 0, 0
0, 10, 13, 94, 0, 0
0, 10, 14, 107, 0, 0
0, 10, 15, 93, 0, 0
0, 10, 16, 96, 0, 0
0, 10, 17, 82, 0, 0
0, 10, 18, 91, 0, 0
0, 10, 19, 93, 0, 0
0, 11, 0, 75, 0, 0
0, 11, 1, 90, 0, 0
0, 11, 2, 82, 0, 0
0, 11, 3, 105, 0, 0
0, 11, 4, 88, 0, 0
0, 11, 5, 88, 0, 0
0, 11, 6, 95, 0, 0
0, 11, 7, 91, 0, 0
0, 11, 8, 92, 0, 0
0, 11, 9, 95, 0, 0
0, 11, 10, 87, 0, 0
0, 11, 11, 113, 0, 0
0, 11, 12, 97, 0, 0
0, 11, 13, 90, 0, 0
0, 11, 14, 99, 0, 0
0, 11, 15, 86, 0, 0
0, 11, 16, 91, 0, 0
0, 11, 17, 102, 0, 0
0, 11, 18, 86, 0, 0
0, 11, 19, 87, 0, 0
0, 12, 0, 103, 0, 0
0, 12, 1, 77, 0, 0
0, 12, 2, 75, 0, 0
0, 12, 3, 86, 0, 0
0, 12, 4, 98, 0, 0
0, 12, 5, 105, 0, 0
0, 12, 6, 92, 0, 0
0, 12, 7, 91, 0, 0
0, 12, 8, 99, 0, 0
0, 12, 9, 96, 0, 0
0, 12, 10, 81, 0, 0
0, 12, 11, 94, 0, 0
0, 12, 12, 94, 0, 0
0, 12, 13, 97, 0, 0
0, 12, 14, 61, 0, 0
0, 12, 15, 89, 0, 0
0, 12, 16, 74, 0, 0
0, 12, 17, 86, 0, 0
0, 12, 18, 104, 0, 0
0, 12, 19, 99, 0, 0
0, 13, 0, 96, 0, 0
0, 13, 1, 82, 0, 0
0, 13, 2, 87, 0, 0
0, 13, 3, 73, 0, 0
0, 13, 4, 107, 0, 0
0, 13, 5, 85, 0, 0
0, 13, 6, 100, 0, 0
0, 13, 7, 91, 0, 0
0, 13, 8, 90, 0, 0
0, 13, 9, 93, 0, 0
0, 13, 10, 90, 0, 0
0, 13, 11, 103, 0, 0
0, 13, 12, 88, 0, 0
0, 13, 13, 104, 0, 0
0, 13, 14, 89, 0, 0
0, 13, 15, 107, 0, 0
0, 13, 16, 90, 0, 0
0, 13, 17, 87, 0, 0
0, 13, 18, 95, 0, 0
0, 13, 19, 86, 0, 0
0, 14, 0, 91, 0, 0
0, 14, 1, 89, 0, 0
0, 14, 2, 108, 0, 0
0, 14, 3, 96, 0, 0
0, 14, 4, 89, 0, 0
0, 14, 5, 85, 0, 0
0, 14, 6, 78, 0, 0
0, 14, 7, 92, 0, 0
0, 14, 8, 89, 0, 0
0, 14, 9, 99, 0, 0
0, 14, 10, 98, 0, 0
0, 14, 11, 104, 0, 0
0, 14, 12, 81, 0, 0
0, 14, 13, 80, 0, 0
0, 14, 14, 83, 0, 0
0, 14, 15, 87, 0, 0
